Cuenta;2019;2020;2021;2022;2023;2024;2025;
Total Revenue;1779025115;1698281237;2216732593;2656878395;2618437052;3224233005;3344835851;
Cost Of Revenue;-1048343767;-1022498659;-1375392773;-1628701823;-1601997255;-1945363408;-2037679124;
Gross Profit;730681348;675782578;841339820;1028176572;1016439797;1278869597;1307156727;
Selling General And Administration;-492812098;-436170953;-548902236;-683032392;-659102694;851788221;-851790214;
Research And Development;;;;;;;;
Operating Income;237869250;239611625;292437584;345144180;357337103;2130657818;455366513;
EBIT;237869250;239611625;292437584;345144180;357337103;2130657818;455366513;
D&A;111087284;110920517;104775303;119365431;112771324;151110933;159241493;
EBITDA;348956534;350532142;397212887;464509611;470108427;2281768751;614608006;
Interest Expense;-46209020;-54772837;-52992456;-59547953;-65288352;-70413883;-68218413;
Pretax Income;236413116;178022719;203208988;232803625;260505794;368036771;380634342;
Tax Provision;-61166891;-54905399;-46177320;-104344638;-85994307;-133392646;-110156927;
Net Income;175246225;123117320;157031668;128458987;174511487;234644125;270477415;
No Controler;1524297;1117515;2333518;2961345;3070077;1981241;1780479;
Basic EPS;183,53;128,89;163,43;132,58;181,12;245,80;283,86;
Diluted EPS;183,53;128,89;163,43;132,58;181,12;245,80;283,86;
Basic Average Shares;946570604;946570604;946570604;946570604;946570604;946570604;946570604;
Diluted Average Shares;946570604;946570604;946570604;946570604;946570604;946570604;946570604;
Normalized Income;173721928;121999805;154698150;125497642;171441410;232662884;268696936;
