Cuenta;2020;2021;2022;2023;2024;2025
Cash And Cash Equivalents;309530699;304312020;291681987;303683683;248899004;296539709
Accounts Receivable;194021253;265490626;279770286;298892164;332831088;339778498
Inventory;127972650;191350206;245886656;233053160;299970909;304550609
Current Assets;797297716;990986123;1161729392;981771027;1013195740;1033052781
Property Plant Equipment;605576545;716379127;798221259;872388811;1097773572;1179385259
Goodwill;98325593;118042900;129023922;122103802;144681420;137128318
Intangible Assets;604514165;659631543;671778888;695926565;693383630;719489720
Total Assets;2448064400;2946106647;3010700607;2921520889;3291104273;3420405418
Accounts Payable;230445809;327409207;384801630;428911984;457074643;480396027
Current Liabilities;378056186;529567279;949245134;692871296;906143994;730412517
Other Current Liabilities;28266730;31237834;42294460;42373160;142103582;489967
Long Term Debt;989829569;1041048972;904802058;1044325833;1066543247;1191795823
Total Debt;1028396293;1088812011;1272104138;1097322834;1176873707;1254214813
Net Debt;718865594;784499991;980422151;793639151;927974703;957675104
Total Liabilities;1616503809;1844693088;2127297955;2000535475;2276707253;2223851570
Ordinary Shares Number;;;;;;
Retained Earnings;654171126;768116920;716975127;769311795;891746153;1169458993
Total Equity;831560591;1101413559;883402652;920985414;1014397020;1196553848
Total Liabilities Net Minority Interest;1616503809;1844693088;2127297955;2000535475;2276707253;2223851570
Total Capitalization;1859956884;2190225570;2155506790;2018308248;2191270727;2450768661
